country,value,carrier,source
AT,3.626357209224882,waste,hotmaps
BE,5.348390823622952,waste,hotmaps
BG,3.6278411123425003,waste,hotmaps
CY,0.19353103682106945,waste,hotmaps
CZ,3.8445145007803,waste,hotmaps
DE,27.595153959022834,waste,hotmaps
DK,3.2364985992227533,waste,hotmaps
EE,0.4007205193423807,waste,hotmaps
EL,5.341570098896413,waste,hotmaps
ES,23.754462306450396,waste,hotmaps
FI,1.872934141125547,waste,hotmaps
FR,27.889891110676473,waste,hotmaps
HR,1.7547540049924961,waste,hotmaps
HU,4.307124893058266,waste,hotmaps
IE,2.4192432062554103,waste,hotmaps
IT,21.96203808072838,waste,hotmaps
LT,1.2196951480803577,waste,hotmaps
LU,0.27767030469555665,waste,hotmaps
LV,0.7221927677820946,waste,hotmaps
MT,0.2703579962049417,waste,hotmaps
NL,8.94775929975794,waste,hotmaps
PL,9.066340808804751,waste,hotmaps
PT,5.852421070235118,waste,hotmaps
RO,6.643936300577174,waste,hotmaps
SE,2.8310818860491023,waste,hotmaps
SI,0.47015541861433896,waste,hotmaps
SK,1.8245079107496518,waste,hotmaps
UK,29.358123688412796,waste,hotmaps
AT,23.6111111111111,biomass,hotmaps
BE,8.083333333333334,biomass,hotmaps
BG,37.58333333333335,biomass,hotmaps
CY,0.0,biomass,hotmaps
CZ,32.77777777777778,biomass,hotmaps
DE,150.1666666666666,biomass,hotmaps
DK,13.555555555555562,biomass,hotmaps
EE,11.638888888888905,biomass,hotmaps
EL,6.44444444444444,biomass,hotmaps
ES,83.55555555555556,biomass,hotmaps
FI,62.44444444444448,biomass,hotmaps
FR,149.55555555555557,biomass,hotmaps
HR,15.861111111111097,biomass,hotmaps
HU,30.27777777777777,biomass,hotmaps
IE,1.666666666666667,biomass,hotmaps
IT,39.41666666666669,biomass,hotmaps
LT,15.583333333333329,biomass,hotmaps
LU,0.6111111111111112,biomass,hotmaps
LV,20.916666666666686,biomass,hotmaps
MT,0.0,biomass,hotmaps
NL,2.8055555555555545,biomass,hotmaps
PL,71.3611111111111,biomass,hotmaps
PT,33.638888888888886,biomass,hotmaps
RO,49.44444444444444,biomass,hotmaps
SE,86.75,biomass,hotmaps
SI,10.749999999999998,biomass,hotmaps
SK,17.305555555555554,biomass,hotmaps
UK,36.19444444444448,biomass,hotmaps
